locat176 comcat.ComcatLocalCatalog test3 opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt us20003k7a 30.000 90.0 400.0 3.5
Loading catalog: [opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt]
Fetching event: us20003k7a
ObsEqkRupture:
rup_event_id = us20003k7a
rup_time = 1442444072860 (2015-09-16 22:54:32 UTC)
rup_mag = 8.3
rup_lat = -31.5729
rup_lon = -71.6744
rup_depth = 22.44
description = 48km W of Illapel, Chile
ids = ,us20003k7a,gcmt20150916225432,gcmt20150916225433,at00nuskyv,pt15259054,atlas20150916225432,
net = us
code = 20003k7a

Fetching event list
min_days = 30.0
max_days = 90.0
radius_km = 400.0
min_mag = 3.5
Events returned by fetchEventList = 209
List of events returned by fetchEventList:
0: us20004hed (time = 2015-12-15 20:37:57 UTC, mag = 4.400, lat = -30.78460, lon = -71.55540, depth = 35.470)
1: us20004h9q (time = 2015-12-15 04:51:03 UTC, mag = 4.300, lat = -29.36230, lon = -71.99700, depth = 10.310)
2: us20004h9m (time = 2015-12-15 04:22:57 UTC, mag = 4.000, lat = -30.63180, lon = -71.89640, depth = 19.780)
3: us20004h0s (time = 2015-12-14 09:12:17 UTC, mag = 4.500, lat = -30.37840, lon = -72.18190, depth = 10.000)
4: us20004gx7 (time = 2015-12-13 17:31:07 UTC, mag = 4.800, lat = -30.55920, lon = -72.07870, depth = 10.000)
5: us20004gw9 (time = 2015-12-13 14:35:42 UTC, mag = 4.300, lat = -29.65550, lon = -71.97230, depth = 10.000)
6: us20004gw8 (time = 2015-12-13 14:25:44 UTC, mag = 4.100, lat = -30.35800, lon = -72.08700, depth = 13.200)
7: us20004gvz (time = 2015-12-13 12:08:29 UTC, mag = 4.000, lat = -30.63200, lon = -71.60600, depth = 32.100)
8: us20004gub (time = 2015-12-13 01:17:39 UTC, mag = 4.100, lat = -31.69320, lon = -72.08040, depth = 10.420)
9: us20004gst (time = 2015-12-12 20:49:36 UTC, mag = 4.200, lat = -30.69380, lon = -71.65590, depth = 33.640)
10: us20004grc (time = 2015-12-12 15:08:58 UTC, mag = 4.600, lat = -35.00650, lon = -71.94350, depth = 41.270)
11: us20004hk6 (time = 2015-12-12 10:09:01 UTC, mag = 4.100, lat = -31.67970, lon = -72.07670, depth = 10.000)
12: us20004gnv (time = 2015-12-12 04:42:53 UTC, mag = 4.400, lat = -31.20280, lon = -72.59790, depth = 2.920)
13: us20004gas (time = 2015-12-11 00:18:36 UTC, mag = 4.100, lat = -30.41870, lon = -72.09910, depth = 11.750)
14: us20004g1w (time = 2015-12-10 00:37:38 UTC, mag = 4.400, lat = -30.99390, lon = -71.36750, depth = 48.960)
15: us20004ft1 (time = 2015-12-09 09:14:02 UTC, mag = 4.300, lat = -30.70620, lon = -71.85530, depth = 22.360)
16: us20004fqv (time = 2015-12-09 05:52:54 UTC, mag = 4.400, lat = -31.28550, lon = -68.80080, depth = 120.730)
17: us20004g1u (time = 2015-12-09 01:11:42 UTC, mag = 4.400, lat = -30.85460, lon = -71.62970, depth = 28.710)
18: us10004552 (time = 2015-12-08 13:32:48 UTC, mag = 4.200, lat = -30.78960, lon = -71.92370, depth = 27.290)
19: us1000454p (time = 2015-12-08 12:56:07 UTC, mag = 5.600, lat = -30.80960, lon = -71.75190, depth = 25.000)
20: us100044sc (time = 2015-12-07 17:41:15 UTC, mag = 4.600, lat = -30.31820, lon = -72.16960, depth = 12.580)
21: us100044k5 (time = 2015-12-07 07:51:11 UTC, mag = 5.500, lat = -31.39850, lon = -71.26240, depth = 49.530)
22: us100044gq (time = 2015-12-06 17:55:29 UTC, mag = 4.400, lat = -31.47140, lon = -71.89680, depth = 35.000)
23: us100044ak (time = 2015-12-05 14:55:04 UTC, mag = 4.000, lat = -30.68560, lon = -71.63060, depth = 52.310)
24: us100043e9 (time = 2015-12-04 17:57:26 UTC, mag = 4.300, lat = -31.24710, lon = -68.37870, depth = 100.810)
25: us1000439f (time = 2015-12-04 08:44:38 UTC, mag = 4.400, lat = -30.77880, lon = -71.48140, depth = 45.130)
26: us1000438f (time = 2015-12-04 04:56:17 UTC, mag = 4.200, lat = -30.54290, lon = -72.11650, depth = 14.460)
27: us1000431j (time = 2015-12-03 14:48:15 UTC, mag = 4.400, lat = -30.47030, lon = -72.34800, depth = 10.000)
28: us1000431c (time = 2015-12-03 13:54:11 UTC, mag = 4.200, lat = -31.78260, lon = -72.28580, depth = 10.000)
29: us1000430s (time = 2015-12-03 11:36:10 UTC, mag = 4.200, lat = -30.86890, lon = -71.94640, depth = 40.060)
30: us100042yl (time = 2015-12-03 08:32:46 UTC, mag = 4.500, lat = -29.75220, lon = -71.67100, depth = 34.820)
31: us100042wz (time = 2015-12-03 03:56:47 UTC, mag = 4.200, lat = -30.19320, lon = -72.16900, depth = 10.000)
32: us100042vz (time = 2015-12-03 00:25:19 UTC, mag = 4.200, lat = -31.61720, lon = -71.98430, depth = 33.690)
33: us100042uc (time = 2015-12-02 22:05:32 UTC, mag = 4.200, lat = -30.46190, lon = -72.11730, depth = 6.460)
34: us100042n3 (time = 2015-12-02 09:38:27 UTC, mag = 4.800, lat = -30.39440, lon = -72.11070, depth = 10.000)
35: us100042g6 (time = 2015-12-01 15:31:33 UTC, mag = 4.100, lat = -30.40340, lon = -71.74180, depth = 23.280)
36: us100042fu (time = 2015-12-01 14:29:22 UTC, mag = 4.200, lat = -30.59170, lon = -71.69890, depth = 32.480)
